date,expiration,contractLength,type,strike,bid,ask,midpoint,blackScholesPrice,stockPriceAtExpiration,profitable,return
2018-06-01,2018-06-13,12,call,265.5,8.51,8.74,8.625,7.667909569616768,279.19,True,58.7246376811594
2018-06-01,2018-06-13,12,call,266.0,8.04,8.27,8.155,7.229242524730978,279.19,True,61.74126302881666
2018-06-01,2018-06-13,12,call,266.5,7.58,7.81,7.695,6.7994450731507925,279.19,True,64.91228070175436
2018-06-01,2018-06-13,12,call,267.0,7.12,7.35,7.234999999999999,6.379344284815858,279.19,True,68.4865238424326
2018-06-01,2018-06-13,12,call,267.5,6.66,6.89,6.775,5.969768395335052,279.19,True,72.54612546125458
2018-06-01,2018-06-13,12,call,268.0,6.23,6.45,6.34,5.571534982805645,279.19,True,76.49842271293372
2018-06-01,2018-06-13,12,call,268.5,5.79,6.0,5.895,5.185438517538017,279.19,True,81.34011874469887
2018-06-01,2018-06-13,12,call,269.0,5.34,5.56,5.449999999999999,4.8122375978285845,279.19,True,86.97247706422017
2018-06-01,2018-06-13,12,call,269.5,4.93,5.14,5.035,4.452642214447138,279.19,True,92.45283018867919
2018-06-01,2018-06-13,12,call,270.0,4.56,4.65,4.605,4.107301403112757,279.19,True,99.56568946796953
2018-06-01,2018-06-13,12,call,270.5,4.15,4.24,4.195,3.776791646505643,279.19,True,107.15137067938014
2018-06-01,2018-06-13,12,call,271.0,3.75,3.84,3.795,3.4616063746537122,279.19,True,115.81027667984185
2018-06-01,2018-06-13,12,call,271.5,3.37,3.45,3.41,3.1621468849902215,279.19,True,125.51319648093835
2018-06-01,2018-06-13,12,call,272.0,3.01,3.08,3.045,2.8787149619612364,279.19,True,136.12479474548434
2018-06-01,2018-06-13,12,call,272.5,2.66,2.73,2.6950000000000003,2.611507422524852,279.19,True,148.23747680890526
2018-06-01,2018-06-13,12,call,273.0,2.33,2.39,2.3600000000000003,2.360612750640769,279.19,True,162.2881355932202
2018-06-01,2018-06-13,12,call,273.5,2.02,2.07,2.045,2.126009913850467,279.19,True,178.23960880195588
2018-06-01,2018-06-13,12,call,274.0,1.73,1.78,1.755,1.9075693816114097,279.19,True,195.7264957264956
2018-06-01,2018-06-13,12,call,274.5,1.47,1.52,1.495,1.7050562916200533,279.19,True,213.71237458193963
2018-06-01,2018-06-13,12,call,275.0,1.23,1.27,1.25,1.5181356403493993,279.19,True,235.19999999999982
2018-06-01,2018-06-13,12,call,275.5,1.02,1.06,1.04,1.3463793105781718,279.19,True,254.80769230769207
